date,signal_date,gross_return,turnover,cost,net_return,equity,drawdown,sector_target_exposure,mapped_equity_exposure,mapping_coverage,etf_count
20250527,20250526,-9.945103031316899e-06,0.0,0.0,-9.945103031316904e-06,1.160272579258338,-0.0029586655607055645,0.6999999999999995,0.0,0.0,1
20250528,20250527,-9.945201937311405e-06,1.1102230246251565e-16,2.220446049250313e-19,-9.94520193731141e-06,1.160261040113235,-0.002968581338116283,0.7006636010635894,0.0,0.0,1
20250529,20250528,9.945300845348723e-05,1.1102230246251565e-16,2.220446049250313e-19,9.945300845348726e-05,1.1603764315642655,-0.002869423564007767,0.6999999999999995,0.0,0.0,1
20250530,20250529,0.00010938743038990667,5.551115123125783e-17,1.1102230246251566e-19,0.00010938743038990673,1.1605033621603993,-0.0027603500124883107,0.7001037391625275,0.0,0.0,1
20250603,20250530,7.954579351898691e-05,1.1102230246251565e-16,2.220446049250313e-19,7.954579351898694e-05,1.1605956753212239,-0.0026810237932013425,0.7003813785180512,0.0,0.0,1
20250604,20250603,-9.942433311205255e-06,1.1102230246251565e-16,2.220446049250313e-19,-9.942433311205257e-06,1.1605841361761207,-0.002690939570612394,0.6999999999999995,0.0,0.0,1
20250605,20250604,3.977012865630234e-05,1.1102230246251565e-16,2.220446049250313e-19,3.977012865630236e-05,1.1606302927565328,-0.0026512764609689654,0.699946420631843,0.0,0.0,1
20250606,20250605,8.947923087632147e-05,1.1102230246251565e-16,2.220446049250313e-19,8.947923087632148e-05,1.1607341450624604,-0.002562034464271279,0.6999999999999995,0.0,0.0,1
20250609,20250606,2.9823741686696423e-05,1.1102230246251565e-16,2.220446049250313e-19,2.9823741686696437e-05,1.1607687624977696,-0.0025322871320386797,0.7000783829974815,0.0,0.0,1
20250610,20250609,0.0,0.0,0.0,0.0,1.1607687624977696,-0.0025322871320386797,0.7004523050144089,0.0,0.0,1
20250611,20250610,4.970475376286919e-05,1.1102230246251565e-16,2.220446049250313e-19,4.97047537628692e-05,1.1608264582232852,-0.0024827082449841997,0.6999999999999995,0.0,0.0,1
20250612,20250611,1.9880913328940143e-05,1.6653345369377348e-16,3.3306690738754697e-19,1.9880913328940153e-05,1.1608495365134912,-0.002462876690162541,0.7006989947293325,0.0,0.0,1
20250613,20250612,0.00010934284947472504,1.1102230246251565e-16,2.220446049250313e-19,0.00010934284947472506,1.160976467109625,-0.0023538031386430847,0.6999999999999995,0.0,0.0,1
20250616,20250613,1.9878344531543125e-05,1.1102230246251565e-16,2.220446049250313e-19,1.9878344531543135e-05,1.1609995453998312,-0.002333971583821315,0.6983478013930235,0.0,0.0,1
20250617,20250616,-2.9816924086212275e-05,1.1102230246251565e-16,2.220446049250313e-19,-2.9816924086212282e-05,1.1609649279645218,-0.002363718916054025,0.2999999999999997,0.0,0.0,1
20250618,20250617,6.957489737691167e-05,0.0,0.0,6.957489737691169e-05,1.1610457019802431,-0.0022943084741781083,0.2999999999999997,0.0,0.0,1
20250619,20250618,0.00015901727325129392,1.6653345369377348e-16,3.3306690738754697e-19,0.000159017273251294,1.161230328301892,-0.002135656035604394,0.2990894180263697,0.0,0.0,1
20250620,20250619,9.936999423665326e-05,1.1102230246251565e-16,2.220446049250313e-19,9.936999423665327e-05,1.161345719752923,-0.002036498261495767,0.29683504071520017,0.0,0.0,1
20250623,20250620,-9.936012082212287e-06,1.6653345369377348e-16,3.3306690738754697e-19,-9.936012082212287e-06,1.16133418060782,-0.0020464140389064855,0.2971430862217803,0.0,0.0,1
20250624,20250623,-2.9808332422609486e-05,5.551115123125783e-17,1.1102230246251566e-19,-2.9808332422609496e-05,1.1612995631725107,-0.0020761613711390847,0.2999999999999997,0.0,0.0,1
20250625,20250624,-1.9872813990295935e-05,2.220446049250313e-16,4.440892098500626e-19,-1.9872813990295946e-05,1.1612764848823047,-0.0020959929259607435,0.3012421951388763,0.0,0.0,1
20250626,20250625,1.9873208926934893e-05,2.220446049250313e-16,4.440892098500626e-19,1.9873208926934893e-05,1.1612995631725107,-0.0020761613711390847,0.2999999999999997,0.0,0.0,1
20250627,20250626,0.00014904610492871834,1.1102230246251565e-16,2.220446049250313e-19,0.0001490461049287184,1.161472650349057,-0.0019274247099760888,0.3000661190479176,0.0,0.0,1
20250630,20250627,5.960955739903183e-05,1.1102230246251565e-16,2.220446049250313e-19,5.960955739903184e-05,1.1615418852196753,-0.0018679300455108905,0.29990195351136667,0.0,0.0,1
20250701,20250630,0.0002781613534534877,2.220446049250313e-16,4.440892098500626e-19,0.0002781613534534877,1.161864981282561,-0.0015902882780070016,0.6999999999999995,0.0,0.0,1
20250702,20250701,-0.00018869985797842484,1.1102230246251565e-16,2.220446049250313e-19,-0.00018869985797842492,1.1616457375256029,-0.001778688048813204,0.7005884100565409,0.0,0.0,1
