period,layer,month,gross_ret,net_ret,total_cost
development,smoothed_top5_20bp,202009,-0.03900446846117778,-0.05433853410522116,0.01607801651871538
development,smoothed_top5_20bp,202010,0.017574904972214034,0.004173604036208589,0.013250497197852259
development,smoothed_top5_20bp,202011,0.07925052128997523,0.05948496273387094,0.01847426194832257
development,smoothed_top5_20bp,202012,-0.043838352665769076,-0.059888184344067175,0.016920236704005373
development,smoothed_top5_20bp,202101,0.03277316295488131,0.019893634787295777,0.012544435733329503
development,smoothed_top5_20bp,202102,0.029072786315643473,0.016702801454876015,0.012087345219199207
development,smoothed_top5_20bp,202103,-0.007464406835921533,-0.02565606959731881,0.018489489635527233
development,smoothed_top5_20bp,202104,0.014212069795707105,-0.002753906585464927,0.01686167778351861
development,smoothed_top5_20bp,202105,0.05385520850691061,0.03790739449688796,0.015241266362857164
development,smoothed_top5_20bp,202106,0.02187239660175022,0.007179121794297805,0.014476549395366049
development,smoothed_top5_20bp,202107,0.03211777253853643,0.00995403748472401,0.021695865260379928
development,smoothed_top5_20bp,202108,0.10766197040357173,0.08479248578860976,0.020851816616881604
development,smoothed_top5_20bp,202109,-0.023816926148257145,-0.04016859639285175,0.016883465978102637
development,smoothed_top5_20bp,202110,-0.04498835833896819,-0.057243525883473145,0.01290920311399112
development,smoothed_top5_20bp,202111,0.05410744086032526,0.033173245343788516,0.02004872995233162
development,smoothed_top5_20bp,202112,0.009668772316213214,-0.01161012179493015,0.02128933231239838
development,smoothed_top5_20bp,202201,-0.0743737395689198,-0.08731276349820649,0.014071084602413289
development,smoothed_top5_20bp,202202,0.055774482206341736,0.043492435121603945,0.011695814434384815
development,smoothed_top5_20bp,202203,0.013753363601044066,-0.005633944120997825,0.019300477933403063
development,smoothed_top5_20bp,202204,-0.18519334048956493,-0.19467667890593088,0.011702717484337115
development,smoothed_top5_20bp,202205,0.17300972591465458,0.15612242117720254,0.014494887880135377
development,smoothed_top5_20bp,202206,0.059020593759462336,0.03922752986074762,0.01885662569610144
development,smoothed_top5_20bp,202207,0.047455716474550824,0.02828797146968598,0.01845919154784535
development,smoothed_top5_20bp,202208,0.044163391874177504,0.019716478165682894,0.02367759309901346
development,smoothed_top5_20bp,202209,-0.11348120099649528,-0.130400890071236,0.019259719054935516
development,smoothed_top5_20bp,202210,0.03915688059537836,0.023781708303230786,0.014898508668595097
development,smoothed_top5_20bp,202211,0.10709091015600736,0.0833745546586322,0.021642324695249123
development,smoothed_top5_20bp,202212,-0.03198936696300858,-0.05127497129234415,0.020113570205409916
development,smoothed_top5_20bp,202301,0.06881358193719334,0.05390523638354905,0.014039694315985927
development,smoothed_top5_20bp,202302,0.025089090764002453,0.005542749821241255,0.019241316437595857
development,smoothed_top5_20bp,202303,0.011513002590858301,-0.010174188949726326,0.02166227373569156
development,smoothed_top5_20bp,202304,0.013299117323415599,-0.0012322823995690735,0.014436947359007371
development,smoothed_top5_20bp,202305,0.0251983589771152,0.0060260869030663855,0.01886772807026228
development,smoothed_top5_20bp,202306,-0.008168088071351609,-0.02515779344199931,0.017269573323562614
development,smoothed_top5_20bp,202307,0.05185516708867466,0.03510080276109484,0.016049216857370152
development,smoothed_top5_20bp,202308,-0.03308664353921609,-0.05533896877707145,0.023267612144813692
development,smoothed_top5_20bp,202309,-0.020434802946394548,-0.03567198654760706,0.01566995861267973
development,smoothed_top5_20bp,202310,-0.05462627395017161,-0.07079882527595116,0.01724453416399526
development,smoothed_top5_20bp,202311,0.013039866119646248,-0.005871845059029157,0.01883518110329332
development,smoothed_top5_20bp,202312,-0.02364671168005117,-0.04188466575859162,0.01884660798351908
selection,smoothed_top5_20bp,202401,-0.13186071960225287,-0.14877790020032033,0.019667892603866217
selection,smoothed_top5_20bp,202402,0.0492703262206462,0.03628926133991772,0.012442642143939217
