strategy_id,universe,score_name,top_k,rebalance_days,hold_days,val_days,val_total_ret,val_ann_ret,val_ann_vol,val_sharpe,val_max_drawdown,val_win_rate,val_bench_ann_ret,val_excess_ann_ret,val_excess_sharpe,val_avg_turnover,val_rebalance_count,observation_days,observation_total_ret,observation_ann_ret,observation_ann_vol,observation_sharpe,observation_max_drawdown,observation_win_rate,observation_bench_ann_ret,observation_excess_ann_ret,observation_excess_sharpe,observation_avg_turnover,observation_rebalance_count
industry__score_pullback_trend__top20__rb1,industry,score_pullback_trend,20,1,1,483,0.14144265137012457,0.07146021667749602,0.33683901417664064,0.3720147452319352,-0.3530343762948597,0.5113871635610766,0.17183939229863743,-0.08532144399316877,-0.4952610324747547,0.544261593257961,483,93,-0.10909333550037315,-0.2687574304241426,0.32946474279225174,-0.7816505062957002,-0.23704247818822488,0.4838709677419355,0.022428170864180474,-0.2813157987413262,-1.1712280938290724,0.5639581567889401,93
industry_concept__score_pullback_trend__top20__rb1,industry_concept,score_pullback_trend,20,1,1,483,0.13842313616294932,0.06998046928180801,0.35135261757679626,0.36612591006832945,-0.36980941042073623,0.5093167701863354,0.18784006684587706,-0.09898309450305443,-0.5890403843316862,0.597724191304803,483,93,-0.1009723197068696,-0.25055474550142987,0.3342365359265472,-0.6921653883836855,-0.24491786471753374,0.4731182795698925,0.05468683869726565,-0.2880753218601285,-1.1800248611051414,0.5951822915901855,93
industry_concept__score_breakout__top20__rb1,industry_concept,score_breakout,20,1,1,483,0.127528936273259,0.06462597718596808,0.30435041695376264,0.3562159978853289,-0.23408124631542315,0.494824016563147,0.18784006684587706,-0.12267715164123227,-0.5832364266314074,0.496122768340577,483,93,0.2697524783440608,0.9100521270144146,0.3258600890098563,2.1511922084956128,-0.14294043254601752,0.5806451612903226,0.05468683869726565,0.8014675949117969,2.2720046978079234,0.4987303391063924,93
industry_concept__score_low_vol_mom__top10__rb1,industry_concept,score_low_vol_mom,10,1,1,483,0.12199830923705224,0.0618982088222948,0.28263332072223907,0.3522870749195684,-0.2636366719285411,0.5072463768115942,0.18784006684587706,-0.1346917644990051,-0.5570190851058864,0.3796413848762884,483,93,0.019423382040505865,0.053508988722773765,0.2570676210265187,0.33189162804810884,-0.15055348215237396,0.5591397849462365,0.05468683869726565,-0.008943738097433984,0.057594527160471316,0.3941726552831787,93
tradable_theme__score_pullback_trend__top20__rb1,tradable_theme,score_pullback_trend,20,1,1,483,0.12613351467410494,0.06393834404312049,0.350162248654435,0.3499675949203101,-0.37257033279289165,0.5113871635610766,0.19005875999688016,-0.10594759174508206,-0.6334458719409238,0.60236127613997,483,93,-0.10114257134874338,-0.25093925355797764,0.33409494654632604,-0.6941366711928193,-0.24476280420997298,0.4838709677419355,0.06018190415199798,-0.29201086116328856,-1.2038663091844841,0.5994253290545882,93
tradable_theme__score_low_vol_mom__top20__rb5,tradable_theme,score_low_vol_mom,20,5,5,483,0.11848547454292957,0.06016229828090203,0.2727306760571414,0.34865653961680404,-0.2833131303913533,0.4968944099378882,0.19005875999688016,-0.13333870503401757,-0.7100708240678419,0.7213076681688384,97,93,0.03195105281915844,0.08895955680746659,0.2652273459147167,0.45465888187438686,-0.16256168582289932,0.5376344086021505,0.06018190415199798,0.025565410825744816,0.22973222861543358,0.7608540481294118,19
industry_concept__score_breakout__top20__rb5,industry_concept,score_breakout,20,5,5,483,0.12019915741840381,0.06100946102250404,0.291138824832293,0.3472960848487351,-0.2735858551073719,0.5134575569358178,0.18784006684587706,-0.12626927502722374,-0.6817867596491863,0.7506143726779807,97,93,0.16691899211874772,0.5193530194574387,0.3599582381102849,1.3444548814192532,-0.18032239729890798,0.5376344086021505,0.05468683869726565,0.4326988825493592,1.3010014889316348,0.7331952363547597,19
industry_concept__score_risk_adj__top20__rb10,industry_concept,score_risk_adj,20,10,10,483,0.11952323368337137,0.060675390773758275,0.2931454515347738,0.34396026160847964,-0.291281082474248,0.5134575569358178,0.18784006684587706,-0.12424927153901533,-0.7488893235128943,0.9317189366632415,49,93,0.1506998168379725,0.46280849570430593,0.25942104586673914,1.5974030824531444,-0.09891186667656648,0.5591397849462365,0.05468683869726565,0.3899230118936552,2.267607687021102,0.9,10
industry_concept__score_risk_adj__top3__rb10,industry_concept,score_risk_adj,3,10,10,483,0.1157492208549733,0.05880833753108461,0.2764087024541649,0.3431419189862935,-0.23641029519508416,0.515527950310559,0.18784006684587706,-0.14507148425383554,-0.5053596712095876,0.9523809523809523,49,93,0.010556947679721373,0.028864720744006922,0.2805450578112431,0.24184251070199006,-0.18454080402738748,0.4946236559139785,0.05468683869726565,-0.030518251803564378,-0.025736543352114758,0.9668368652641732,10
tradable_theme__score_risk_adj__top20__rb1,tradable_theme,score_risk_adj,20,1,1,483,0.11726783206223956,0.059559976852053165,0.29263841108186045,0.3422657457329447,-0.25522686805353323,0.5279503105590062,0.19005875999688016,-0.12995161690137114,-0.6584607668035752,0.41389095416678434,483,93,0.0344150047844094,0.09601929347421745,0.2591858904844957,0.48377955040104276,-0.15674937740516603,0.5376344086021505,0.06018190415199798,0.026914794532434616,0.23299092700150537,0.42064747238003664,93
