expression_text,fitness,direction,peak_month,nodes,depth,category,duplicate_corr,manual_duplicate_corr,manual_duplicate_factor,selected,reject_reason,factor_name
abs(abs(signed_log(volatility_20d_rank))),0.027902483960152297,1,202001,4,3,volatility,0.576666229655996,0.1197762595731509,ma_gap_10_60_rank,False,peak_month_limit,
"add(ma_gap_5_20_rank, min(ret_5d_rank, ts_rank_20(risk_adj_5_20_rank)))",0.027862887236207428,1,201505,6,3,trend,0.6971704455363594,0.8581391722910549,ret_10d_rank,False,manual_factor_duplicate,
signed_sqrt(signed_log(signed_log(ret_3d_rank))),0.027858129408675714,1,201505,4,3,trend,0.6206345376963839,1.0,ret_3d_rank,False,manual_factor_duplicate,
delta_5(ret_3d_rank),0.02783430291841003,1,202012,2,1,trend,0.7159632617096127,0.6840399208905193,ret_3d_rank,False,peak_month_limit,
abs(ts_rank_20(ma_gap_5_20_rank)),0.02782626721034299,1,201505,3,2,breakout,0.7154470075601397,0.6418782859749849,ret_10d_rank,False,peak_month_limit,
"add(signed_sqrt(close_pos_20d_rank), slope_5(close_pos_20d_rank))",0.02780503908303476,1,201703,5,2,breakout,0.7646326692263441,0.9776751224938052,close_pos_20d_rank,False,manual_factor_duplicate,
"min(risk_adj_5_20_rank, mul(risk_adj_5_20_rank, add(ret_10d_rank, ret_5d_rank)))",0.027803895469273438,1,201505,7,3,trend,0.7160540449732117,0.9726397153894834,risk_adj_5_20_rank,False,manual_factor_duplicate,
signed_sqrt(risk_adj_10_20_rank),0.027750791992364163,1,201505,2,1,trend,0.7290945898171187,1.0,risk_adj_10_20_rank,False,manual_factor_duplicate,
neg(risk_adj_10_20_rank),0.027750791992364163,-1,201505,2,1,trend,0.7290945898171187,1.0,risk_adj_10_20_rank,False,manual_factor_duplicate,
signed_log(risk_adj_10_20_rank),0.027750791992364163,1,201505,2,1,trend,0.7290945898171187,1.0,risk_adj_10_20_rank,False,manual_factor_duplicate,
mean_5(close_pos_20d_rank),0.0277473686900826,1,201505,2,1,breakout,0.5774551677621041,0.8312898864840066,close_pos_20d_rank,False,manual_factor_duplicate,
"min(ret_1d_rank, min(mul(ret_10d_rank, ret_20d_rank), signed_log(ret_3d_rank)))",0.02771151788507099,1,201505,8,3,trend,0.4601529303460235,0.8269934946188056,ret_1d_rank,False,manual_factor_duplicate,
signed_log(signed_sqrt(ma_gap_10_60_rank)),0.027681961895067202,-1,201506,3,2,breakout,0.7310262637294146,0.9999911404205258,ma_gap_10_60_rank,False,manual_factor_duplicate,
"signed_log(add(ret_3d_rank, abs(ma_gap_10_60_rank)))",0.027681663396179567,1,201505,5,3,breakout,0.5646832168358815,0.899231893197517,ret_3d_rank,False,manual_factor_duplicate,
