power,dead_zone,half_life,top_k,signal_mode,mean_rank_ic,rank_ic_ir,mean_long_short_5d,long_short_win_rate,early_2026_ic,late_2026_ic
1.5,0.0,3.0,20,tanh,0.019699577838691813,0.14127487098241598,0.0011220630930564722,0.4444444444444444,0.009533881853959258,0.03644307710766309
1.5,0.01,3.0,20,tanh,0.01959863658233162,0.1401633401477955,0.001052603135021576,0.43333333333333335,0.009675625550792172,0.035942419457808364
1.5,0.01,3.0,20,binary,0.01950952204311132,0.149824590027177,0.0004428937371505586,0.4444444444444444,0.010370671300980775,0.03456174679485574
1.5,0.0,3.0,20,linear,0.01885179110804431,0.13272460325939775,0.0007780485342031051,0.43333333333333335,0.008386832941829262,0.03608819279357497
1.5,0.01,3.0,20,linear,0.01872020673091176,0.13141932742651258,0.0006171941901483971,0.43333333333333335,0.008490749594987959,0.03556872436655097
1.0,0.0,3.0,20,binary,0.01798232307890251,0.13801067745114706,0.0006544511245215894,0.43333333333333335,0.008332477788473663,0.03387618591019708
1.0,0.0,3.0,20,tanh,0.01783531426508406,0.12853274171341716,0.0012122573130070205,0.45555555555555555,0.007418969713448474,0.034991646467777957
1.0,0.01,3.0,20,binary,0.017685650982727057,0.13495066600720354,0.0006337019532221035,0.4444444444444444,0.008582956553525417,0.03267832416023564
1.0,0.01,3.0,20,tanh,0.017543235080651975,0.125572385877545,0.0008284026565940777,0.4444444444444444,0.007868958600480562,0.03347733751858136
1.0,0.0,3.0,20,linear,0.016905756925136694,0.11961168967178674,0.000793572413187543,0.4666666666666667,0.0063019029121876334,0.034370928240582216
1.0,0.01,3.0,20,linear,0.016630105425424924,0.11681952493872892,0.00047609716026371504,0.4666666666666667,0.006794260804449254,0.0328303200952672
1.5,0.03,2.0,20,binary,0.010962365314597183,0.07934094371333004,-0.0005580184036890339,0.45555555555555555,-0.0078012310855670374,0.04186711232663236
1.5,0.0,2.0,20,binary,0.010321821667616853,0.0749137020268453,-0.0009814568491576903,0.45555555555555555,-0.0059525668975505125,0.037126696951421914
1.5,0.03,2.0,20,tanh,0.010221407400053067,0.070134175159919,-0.0012908692380588184,0.4111111111111111,-0.008950147059298311,0.0417980853331024
1.5,0.01,2.0,20,binary,0.01005687758221164,0.07296087403499893,-0.0010641087178982116,0.45555555555555555,-0.00607475424007287,0.036626624113033183
1.5,0.0,2.0,20,tanh,0.009530580244534884,0.0653717752259122,-0.0014021220996033466,0.43333333333333335,-0.006981584064537934,0.0367270861653607
1.5,0.01,2.0,20,tanh,0.009261890368379194,0.06350517790330105,-0.00149434534372714,0.43333333333333335,-0.007111644785521042,0.03623006591597958
1.5,0.03,2.0,20,linear,0.008959814280230283,0.060763219875221895,-0.0012022514114712897,0.4444444444444444,-0.00948396161117042,0.039337798101360844
1.0,0.03,2.0,20,binary,0.008928005903350831,0.06543848802296297,-0.0009260317264634712,0.45555555555555555,-0.010475799882625475,0.04088721543319415
1.5,0.0,2.0,20,linear,0.008425610233755003,0.05696500485023486,-0.001342918047570985,0.43333333333333335,-0.007431695304074999,0.03454352523723972
1.5,0.01,2.0,20,linear,0.008167604988582659,0.05519502363330003,-0.0014363696502092166,0.43333333333333335,-0.007570546005179575,0.03408926544889693
1.0,0.0,2.0,20,binary,0.007989911501219832,0.058585936888929775,-0.001527543887529068,0.4666666666666667,-0.006968134976244885,0.032626693934691135
1.0,0.03,2.0,20,tanh,0.007687275019545571,0.053582301102100105,-0.0012432824773239797,0.4222222222222222,-0.011864085999898756,0.039889516698630334
1.0,0.01,2.0,20,binary,0.007338748319700386,0.0537106317728742,-0.0016863107699226672,0.45555555555555555,-0.00742741381954807,0.03165948596081549
1.5,0.03,2.0,10,binary,0.007277098958589678,0.052438359127400865,-0.0037669306720110336,0.3888888888888889,-0.0121147876040008,0.03921667682638576
1.0,0.0,2.0,20,tanh,0.007233725287942846,0.050287427256047394,-0.001645263846678578,0.4444444444444444,-0.00788230513561052,0.03213071657379546
1.5,0.03,2.0,10,tanh,0.007045319598297812,0.04780674104809658,-0.0019468473097934227,0.4,-0.012354938593618655,0.03899868603204258
